run_id	ended_at	stage	seconds	rc	host	store
jqa-cycle-260905-123659-18387	2026-09-05 13:27:42	build	3040	0	godecane	store-stage1
jqa-cycle-260905-123659-18387	2026-09-05 14:17:25	scan	2983	0	godecane	store-stage1
jqa-cycle-260905-123659-18387	2026-09-05 14:58:55	github	329	143	godecane	store-stage1
jqa-cycle-260905-123659-18387	2026-09-05 14:59:08	analyze	12	1	godecane	store-stage1
jqa-cycle-260907-184243-2823	2026-09-07 18:43:42	analyze	55	0	godecane	store-stage1
jqa-cycle-260907-203317-51007	2026-09-07 20:33:31	github	10	1	godecane	store-stage1
jqa-cycle-260907-220701-4988	2026-09-07 22:45:42	scan	2317	0	godecane	store-stage1
jqa-cycle-260907-220701-4988	2026-09-08 02:04:29	github	11927	0	godecane	store-stage1
jqa-cycle-260908-020829-17578	2026-09-08 02:15:26	scan	413	0	godecane	store-stage1
jqa-cycle-260908-021626-21231	2026-09-08 02:16:33	scan	5	0	godecane	store-stage1
jqa-cycle-260908-021705-21888	2026-09-08 02:17:53	analyze	44	0	godecane	store-stage1
jqa-cycle-260908-101420-52439	2026-09-08 10:15:28	scan	63	0	godecane	store-stage1
jqa-cycle-260908-101920-54988	2026-09-08 11:14:53	build	3329	0	godecane	store
jqa-cycle-260908-101920-54988	2026-09-08 12:12:31	scan	3458	0	godecane	store
jqa-cycle-260908-101920-54988	2026-09-08 12:12:42	github	11	0	godecane	store
jqa-cycle-260908-101920-54988	2026-09-08 12:13:28	analyze	46	0	godecane	store
jqa-cycle-260908-125626-55544	2026-09-08 12:56:51	scan	20	0	godecane	localhost:7687
jqa-cycle-260912-113643-36107	2026-09-12 12:29:45	build	3176	0	godecane	store-work
jqa-cycle-260912-122949-79210	2026-09-12 13:16:59	scan	2828	0	godecane	store-work
jqa-cycle-260912-131703-94497	2026-09-12 13:17:16	github	11	0	godecane	store-work
jqa-cycle-260912-131718-94651	2026-09-12 13:18:05	analyze	45	0	godecane	store-work
jqa-cycle-260912-155806-51324	2026-09-12 16:50:13	build	3122	0	godecane	store-20260912-1558
jqa-cycle-260912-165018-98590	2026-09-12 17:51:31	scan	3671	0	godecane	store-20260912-1558
jqa-cycle-260912-175540-42263	2026-09-12 18:32:35	github	2210	0	godecane	store-20260912-1558
jqa-cycle-260912-175540-42263	2026-09-12 18:32:49	analyze	14	1	godecane	store-20260912-1558
jqa-cycle-260912-183739-54528	2026-09-12 18:38:22	analyze	39	0	godecane	store-20260912-1558
jqa-cycle-260913-101232-18576	2026-09-13 10:13:01	build	25	0	godecane	store-20260913-1012
jqa-cycle-260913-101308-19143	2026-09-13 11:19:07	scan	3952	0	godecane	store-20260913-1012
jqa-cycle-260913-111912-62116	2026-09-13 11:52:01	github	1967	0	godecane	store-20260913-1012
jqa-cycle-260913-115205-81352	2026-09-13 11:52:45	analyze	38	0	godecane	store-20260913-1012
jqa-cycle-260913-121337-92309	2026-09-13 12:14:01	analyze	19	0	godecane	store20260913-1012
jqa-cycle-260913-121441-93127	2026-09-13 12:15:22	analyze	37	0	godecane	store-20260913-1012
jqa-cycle-260914-030152-85357	2026-09-14 03:34:17	build	1933	0	godecane	store-20260914-0301
